created_at,client_ts,event_type,participant_identity,role,show_id,uplinkBps,availableOutgoingBitrate,targetBitrate,framesEncodedDelta,framesSentDelta,framesNotSent,fps,sourceFps,avgQp,qualityLimitationReason,rid,activeLayers,layerCount,width,height,sourceWidth,sourceHeight,encoder,keyFramesEncoded,nackCount,pliCount,firCount,packetsLost,jitter,rttSec,retransmittedBytesSent,from,to,reason,quality,source,sid,label,extra
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.584+00:00,room_state_at_mount,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""disconnected"",""transport"":{""pcState"":""new"",""signalWs"":null,""available"":true,""roomState"":""disconnected"",""hasPcManager"":false,""publisherIce"":null,""subscriberIce"":null,""verifyTransport"":false,""pcTransportState"":null,""publisherPromiseSet"":false,""publisherIceConnected"":null}}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.585+00:00,audio_publish_attempt,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.588+00:00,room_connection_state_changed,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connecting""}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.6+00:00,wake_lock_acquired,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live:a,
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.708+00:00,signal_connected,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""transport"":{""pcState"":""new"",""signalWs"":""open"",""available"":true,""roomState"":""connecting"",""hasPcManager"":true,""publisherIce"":""new"",""subscriberIce"":null,""verifyTransport"":false,""pcTransportState"":0,""publisherPromiseSet"":false,""publisherIceConnected"":false},""occurrence"":1}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.71+00:00,audio_publish_failure,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""error"":""a track with the same ID has already been published"",""durationMs"":125}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.714+00:00,session_state_subscribed,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""showId"":""03a35e02-a57f-4a30-b741-475783725c3c""}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.772+00:00,ensure_audio_published,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""action"":""republished"",""trigger"":""signal_connected""}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.772+00:00,track_local_published,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,,,"{""kind"":""audio"",""trackSid"":""TR_AMCeqZVx8UzH7g"",""participantIdentity"":""contestant-a-68701e25""}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.772+00:00,pub_track_published,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,TR_AMCeqZVx8UzH7g,,
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.863+00:00,room_connected,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connected"",""transport"":{""pcState"":""connected"",""signalWs"":""open"",""available"":true,""roomState"":""connected"",""hasPcManager"":true,""publisherIce"":""connected"",""subscriberIce"":null,""verifyTransport"":true,""pcTransportState"":2,""publisherPromiseSet"":false,""publisherIceConnected"":true}}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.863+00:00,room_connection_state_changed,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connected""}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.95+00:00,track_local_published,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,,,"{""kind"":""video"",""trackSid"":""TR_VCQbKf5eaiu6td"",""participantIdentity"":""contestant-a-68701e25""}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:56.95+00:00,pub_track_published,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,TR_VCQbKf5eaiu6td,,
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:57.169+00:00,track_published,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,,,"{""kind"":""video"",""trackSid"":""TR_VCuoLT3hj7m2hU"",""participantIdentity"":""camfeed-a-side-6fe87d7e""}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:57.243+00:00,track_subscribed,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,,,"{""kind"":""video"",""trackSid"":""TR_VCuoLT3hj7m2hU"",""participantIdentity"":""camfeed-a-side-6fe87d7e""}"
2026-08-29T12:58:57.807601+00:00,2026-08-29T12:58:57.585+00:00,track_liveness_snapshot,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""contestant-a-68701e25:TR_VCQbKf5eaiu6td"",""frames"":null,""reason"":null,""staleSec"":1,""probation"":false},{""key"":""camfeed-a-side-6fe87d7e:TR_VCuoLT3hj7m2hU"",""frames"":null,""reason"":null,""staleSec"":0,""probation"":false}],""trackCount"":2,""ineligibleCount"":0}"
2026-08-29T12:58:59.731698+00:00,2026-08-29T12:58:58.585+00:00,pub_stats,,a,show-tjtd0pyo,,2163235,907415,,,,30,30,,none,f,,3,1080,1920,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx, libvpx)",2,0,2,0,0,0.007755,0.022,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":1.38,""other"":0,""bandwidth"":0.256}}"
