created_at,client_ts,event_type,participant_identity,role,show_id,uplinkBps,availableOutgoingBitrate,targetBitrate,framesEncodedDelta,framesSentDelta,framesNotSent,fps,sourceFps,avgQp,qualityLimitationReason,rid,activeLayers,layerCount,width,height,sourceWidth,sourceHeight,encoder,keyFramesEncoded,nackCount,pliCount,firCount,packetsLost,jitter,rttSec,retransmittedBytesSent,from,to,reason,quality,source,sid,label,extra
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.67+00:00,room_state_at_mount,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""disconnected"",""transport"":{""pcState"":""new"",""signalWs"":null,""available"":true,""roomState"":""disconnected"",""hasPcManager"":false,""publisherIce"":null,""subscriberIce"":null,""verifyTransport"":false,""pcTransportState"":null,""publisherPromiseSet"":false,""publisherIceConnected"":null}}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.671+00:00,live_audio_effect_entered,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""run"":1,""roomChanged"":false}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.671+00:00,audio_graph_reused,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,already_live,,,,,
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.672+00:00,audio_publish_attempt,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.674+00:00,room_connection_state_changed,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connecting""}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.684+00:00,wake_lock_acquired,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live:a,
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.782+00:00,signal_connected,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""transport"":{""pcState"":""new"",""signalWs"":""open"",""available"":true,""roomState"":""connecting"",""hasPcManager"":true,""publisherIce"":""new"",""subscriberIce"":null,""verifyTransport"":false,""pcTransportState"":0,""publisherPromiseSet"":false,""publisherIceConnected"":false},""occurrence"":1}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.784+00:00,audio_publish_failure,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""error"":""a track with the same ID has already been published"",""durationMs"":112}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.812+00:00,session_state_subscribed,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""showId"":""00363650-3bfb-402b-ade7-3816b87d1e2a""}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.846+00:00,track_local_published,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,,,"{""kind"":""audio"",""trackSid"":""TR_AMd8yfwGbxQSag"",""participantIdentity"":""contestant-a-6171d5a7""}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.846+00:00,pub_track_published,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,TR_AMd8yfwGbxQSag,,
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.846+00:00,ensure_audio_published,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""action"":""republished"",""trigger"":""signal_connected""}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.938+00:00,room_connection_state_changed,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connected""}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.938+00:00,room_connected,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connected"",""transport"":{""pcState"":""connected"",""signalWs"":""open"",""available"":true,""roomState"":""connected"",""hasPcManager"":true,""publisherIce"":""connected"",""subscriberIce"":null,""verifyTransport"":true,""pcTransportState"":2,""publisherPromiseSet"":false,""publisherIceConnected"":true}}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.939+00:00,track_subscribed,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,,,"{""kind"":""video"",""trackSid"":""TR_VC5Z9mEoZEuMzf"",""participantIdentity"":""camfeed-a-wide-b15af972""}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.94+00:00,start_preflight_begin,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""waited"":false,""timedOut"":false,""transport"":{""pcState"":""connected"",""signalWs"":""open"",""available"":true,""roomState"":""connected"",""hasPcManager"":true,""publisherIce"":""connected"",""subscriberIce"":null,""verifyTransport"":true,""pcTransportState"":2,""publisherPromiseSet"":false,""publisherIceConnected"":true}}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.992+00:00,mode_changed,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""mode"":""auto""}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.992+00:00,health_probe_publish_success,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""connectionState"":""connected""}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.992+00:00,start_preflight_outcome,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""outcome"":""clean"",""recovered"":false,""transport"":{""pcState"":""connected"",""signalWs"":""open"",""available"":true,""roomState"":""connected"",""hasPcManager"":true,""publisherIce"":""connected"",""subscriberIce"":null,""verifyTransport"":true,""pcTransportState"":2,""publisherPromiseSet"":true,""publisherIceConnected"":true}}"
2026-08-30T12:26:04.491312+00:00,2026-08-30T12:26:03.992+00:00,director_loop_started,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transition,,,,,"{""preflight"":""clean"",""transport"":{""pcState"":""connected"",""signalWs"":""open"",""available"":true,""roomState"":""connected"",""hasPcManager"":true,""publisherIce"":""connected"",""subscriberIce"":null,""verifyTransport"":true,""pcTransportState"":2,""publisherPromiseSet"":true,""publisherIceConnected"":true}}"
2026-08-30T12:26:05.496377+00:00,2026-08-30T12:26:04.423+00:00,egress_command_failed,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""room"":""show-dwlffblh"",""stage"":""refused (500)"",""action"":""start"",""detail"":""Server missing egress environment variables""}"
2026-08-30T12:26:05.496377+00:00,2026-08-30T12:26:04.67+00:00,track_liveness_snapshot,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""camfeed-a-wide-b15af972:TR_VC5Z9mEoZEuMzf"",""frames"":null,""reason"":null,""staleSec"":1,""probation"":false}],""trackCount"":1,""ineligibleCount"":0}"
2026-08-30T12:26:05.496377+00:00,2026-08-30T12:26:04.993+00:00,director_shot_emitted,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""shot"":""wide"",""slot"":""a"",""sourceRole"":""wide"",""decisionSource"":""auto"",""targetIdentity"":""camfeed-a-wide-b15af972""}"
2026-08-30T12:26:05.496377+00:00,2026-08-30T12:26:04.993+00:00,shot_publish_success,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""shot"":""wide"",""slot"":""a"",""commandId"":""acdc91b0-5da6-4380-986b-25784b2ed7cd"",""decisionSource"":""auto"",""connectionState"":""connected""}"
2026-08-30T12:26:05.496377+00:00,2026-08-30T12:26:05.119+00:00,pub_track_published,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,TR_VCHFzHmQiGnt96,,
2026-08-30T12:26:05.496377+00:00,2026-08-30T12:26:05.119+00:00,track_local_published,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,,,"{""kind"":""video"",""trackSid"":""TR_VCHFzHmQiGnt96"",""participantIdentity"":""contestant-a-6171d5a7""}"
2026-08-30T12:26:06.495797+00:00,2026-08-30T12:26:05.67+00:00,track_liveness_snapshot,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""camfeed-a-wide-b15af972:TR_VC5Z9mEoZEuMzf"",""frames"":16,""reason"":null,""staleSec"":1,""probation"":false},{""key"":""contestant-a-6171d5a7:TR_VCHFzHmQiGnt96"",""frames"":null,""reason"":null,""staleSec"":0,""probation"":false}],""trackCount"":2,""ineligibleCount"":0}"
2026-08-30T12:26:06.495797+00:00,2026-08-30T12:26:05.673+00:00,pub_stats,,a,show-dwlffblh,,1027387,375000,,,,21,30.592734225621413,,bandwidth,h,,3,360,640,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx)",2,0,1,0,,,0.026,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":0.038,""other"":0,""bandwidth"":0.516}}"
2026-08-30T12:26:07.512459+00:00,2026-08-30T12:26:07.252+00:00,pub_connection_quality,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excellent,,,,
2026-08-30T12:26:08.533962+00:00,2026-08-30T12:26:07.671+00:00,pub_stats,,a,show-dwlffblh,878643,1181539,450000,40,40,0,20,29,61.95,bandwidth,h,h+q,3,360,640,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx)",3,0,2,0,0,0.0026769999999999997,0.023,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":0.038,""other"":0,""bandwidth"":2.516}}"
2026-08-30T12:26:09.71887+00:00,2026-08-30T12:26:08.695+00:00,mic_level_sample,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""deviceId"":""a58e21953fa187ebbfa035f4c18fb6d2d3f12f0c3a35994d56f0781fea8405af"",""inputRms"":0.031756852403072154,""outputRms"":0.1011042270314393,""deviceLabel"":""MacBook Air Microphone (Built-in)"",""audioContextState"":""running""}"
2026-08-30T12:26:10.491361+00:00,2026-08-30T12:26:09.671+00:00,pub_stats,,a,show-dwlffblh,1018928,1389109,450000,40,40,0,20,29,43.4,bandwidth,h,h+q,3,360,640,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx)",3,0,2,0,0,0.001455,0.024,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":0.038,""other"":0,""bandwidth"":4.515}}"
2026-08-30T12:26:11.525449+00:00,2026-08-30T12:26:10.671+00:00,track_liveness_snapshot,,a,show-dwlffblh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""camfeed-a-wide-b15af972:TR_VC5Z9mEoZEuMzf"",""frames"":88,""reason"":null,""staleSec"":1,""probation"":false},{""key"":""contestant-a-6171d5a7:TR_VCHFzHmQiGnt96"",""frames"":null,""reason"":null,""staleSec"":5,""probation"":false}],""trackCount"":2,""ineligibleCount"":0}"
