created_at,client_ts,event_type,participant_identity,role,show_id,uplinkBps,availableOutgoingBitrate,targetBitrate,framesEncodedDelta,framesSentDelta,framesNotSent,fps,sourceFps,avgQp,qualityLimitationReason,rid,activeLayers,layerCount,width,height,sourceWidth,sourceHeight,encoder,keyFramesEncoded,nackCount,pliCount,firCount,packetsLost,jitter,rttSec,retransmittedBytesSent,from,to,reason,quality,source,sid,label,extra
2026-09-05T18:56:44.642297+00:00,2026-09-05T18:56:39.031+00:00,health_log_dropped_before_init,be2c67fb-7f6c-4390-a234-a2dd4d24c102,kit-check,show-5b0cddtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""count"":6,""types"":[""audio_host_adopted"",""backing_deck_raf"",""deck_loop_ab_started""]}"
2026-09-05T18:57:05.795315+00:00,2026-09-05T18:57:00.323+00:00,backing_deck_raf,be2c67fb-7f6c-4390-a234-a2dd4d24c102,kit-check,show-5b0cddtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teardown,,,,,"{""elapsedMs"":22779,""idleFrames"":1372,""hasDuration"":false,""activeFrames"":0,""changedLabel"":0,""changedWidth"":0,""playingFrames"":0}"
2026-09-05T18:57:08.8054+00:00,2026-09-05T18:57:03.099+00:00,performance_mode_resolved,be2c67fb-7f6c-4390-a234-a2dd4d24c102,kit-check,show-5b0cddtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""path"":""join_show"",""role"":""a"",""value"":""solo"",""showLoaded"":true,""fromShowRow"":""solo"",""fromResponse"":""solo""}"
2026-09-05T18:57:08.8054+00:00,2026-09-05T18:57:03.195+00:00,track_liveness_snapshot,be2c67fb-7f6c-4390-a234-a2dd4d24c102,kit-check,show-5b0cddtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[],""trackCount"":0,""ineligibleCount"":0}"
2026-09-05T18:57:08.8054+00:00,2026-09-05T18:57:03.2+00:00,room_state_at_mount,,a,show-5b0cddtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""disconnected"",""transport"":{""pcState"":""new"",""signalWs"":null,""available"":true,""roomState"":""disconnected"",""hasPcManager"":false,""publisherIce"":null,""subscriberIce"":null,""verifyTransport"":false,""pcTransportState"":null,""publisherPromiseSet"":false,""publisherIceConnected"":null}}"
2026-09-05T18:57:08.8054+00:00,2026-09-05T18:57:03.212+00:00,live_audio_effect_entered,,a,show-5b0cddtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""run"":1,""roomChanged"":false}"
2026-09-05T18:57:08.8054+00:00,2026-09-05T18:57:03.212+00:00,audio_graph_reused,,a,show-5b0cddtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,already_live,,,,,
2026-09-05T18:57:08.8054+00:00,2026-09-05T18:57:03.23+00:00,audio_publish_attempt,,a,show-5b0cddtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-05T18:57:08.8054+00:00,2026-09-05T18:57:03.277+00:00,room_connection_state_changed,,a,show-5b0cddtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connecting""}"
2026-09-05T18:57:08.8054+00:00,2026-09-05T18:57:03.355+00:00,mic_state_publish_failed,,a,show-5b0cddtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""error"":""PC manager is closed"",""micOn"":true}"
2026-09-05T18:57:08.8054+00:00,2026-09-05T18:57:03.416+00:00,wake_lock_acquired,,a,show-5b0cddtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live:a,
