created_at,client_ts,event_type,participant_identity,role,show_id,uplinkBps,availableOutgoingBitrate,targetBitrate,framesEncodedDelta,framesSentDelta,framesNotSent,fps,sourceFps,avgQp,qualityLimitationReason,rid,activeLayers,layerCount,width,height,sourceWidth,sourceHeight,encoder,keyFramesEncoded,nackCount,pliCount,firCount,packetsLost,jitter,rttSec,retransmittedBytesSent,from,to,reason,quality,source,sid,label,extra
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.522+00:00,room_state_at_mount,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""disconnected"",""transport"":{""pcState"":""new"",""signalWs"":null,""available"":true,""roomState"":""disconnected"",""hasPcManager"":false,""publisherIce"":null,""subscriberIce"":null,""verifyTransport"":false,""pcTransportState"":null,""publisherPromiseSet"":false,""publisherIceConnected"":null}}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.522+00:00,live_audio_effect_entered,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""run"":1,""roomChanged"":false}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.522+00:00,audio_graph_reused,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,already_live,,,,,
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.524+00:00,audio_publish_attempt,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.526+00:00,room_connection_state_changed,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connecting""}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.54+00:00,wake_lock_acquired,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live:a,
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.587+00:00,backing_deck_raf,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teardown,,,,,"{""elapsedMs"":34,""idleFrames"":3,""hasDuration"":false,""activeFrames"":0,""changedLabel"":0,""changedWidth"":0,""playingFrames"":0}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.587+00:00,backing_deck_loaded,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehydrate,,,"{""durationSec"":195,""waveformPoints"":180,""approxBufferBytes"":68952064}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.7+00:00,signal_connected,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""transport"":{""pcState"":""new"",""signalWs"":""open"",""available"":true,""roomState"":""connecting"",""hasPcManager"":true,""publisherIce"":""new"",""subscriberIce"":null,""verifyTransport"":false,""pcTransportState"":0,""publisherPromiseSet"":false,""publisherIceConnected"":false},""occurrence"":1}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.704+00:00,audio_publish_failure,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""error"":""a track with the same ID has already been published"",""durationMs"":180}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.767+00:00,pub_track_published,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,TR_AMfWhxuh6GURzb,,
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.767+00:00,track_local_published,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,,,"{""kind"":""audio"",""trackSid"":""TR_AMfWhxuh6GURzb"",""participantIdentity"":""contestant-a-c79e4705""}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.767+00:00,ensure_audio_published,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""action"":""republished"",""trigger"":""signal_connected""}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.856+00:00,room_connection_state_changed,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connected""}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.856+00:00,room_connected,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connected"",""transport"":{""pcState"":""connected"",""signalWs"":""open"",""available"":true,""roomState"":""connected"",""hasPcManager"":true,""publisherIce"":""connected"",""subscriberIce"":null,""verifyTransport"":true,""pcTransportState"":2,""publisherPromiseSet"":false,""publisherIceConnected"":true}}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.858+00:00,start_preflight_begin,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""waited"":false,""timedOut"":false,""transport"":{""pcState"":""connected"",""signalWs"":""open"",""available"":true,""roomState"":""connected"",""hasPcManager"":true,""publisherIce"":""connected"",""subscriberIce"":null,""verifyTransport"":true,""pcTransportState"":2,""publisherPromiseSet"":false,""publisherIceConnected"":true}}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.91+00:00,health_probe_publish_success,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""connectionState"":""connected""}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.91+00:00,start_preflight_outcome,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""outcome"":""clean"",""recovered"":false,""transport"":{""pcState"":""connected"",""signalWs"":""open"",""available"":true,""roomState"":""connected"",""hasPcManager"":true,""publisherIce"":""connected"",""subscriberIce"":null,""verifyTransport"":true,""pcTransportState"":2,""publisherPromiseSet"":true,""publisherIceConnected"":true}}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.91+00:00,mode_changed,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""mode"":""auto""}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.91+00:00,director_loop_started,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transition,,,,,"{""preflight"":""clean"",""transport"":{""pcState"":""connected"",""signalWs"":""open"",""available"":true,""roomState"":""connected"",""hasPcManager"":true,""publisherIce"":""connected"",""subscriberIce"":null,""verifyTransport"":true,""pcTransportState"":2,""publisherPromiseSet"":true,""publisherIceConnected"":true}}"
2026-08-30T16:21:06.067821+00:00,2026-08-30T16:21:04.934+00:00,session_state_subscribed,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""showId"":""3332840d-362d-4c03-89f9-2f4e88e500fa""}"
2026-08-30T16:21:06.662726+00:00,2026-08-30T16:21:05.602+00:00,egress_command_failed,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""room"":""show-jm6rlv90"",""stage"":""refused (500)"",""action"":""start"",""detail"":""Server missing egress environment variables""}"
2026-08-30T16:21:06.662726+00:00,2026-08-30T16:21:06.031+00:00,pub_track_published,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,TR_VC5tpJKFMjd7Vk,,
2026-08-30T16:21:06.662726+00:00,2026-08-30T16:21:06.031+00:00,track_local_published,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,,,"{""kind"":""video"",""trackSid"":""TR_VC5tpJKFMjd7Vk"",""participantIdentity"":""contestant-a-c79e4705""}"
2026-08-30T16:21:06.662726+00:00,2026-08-30T16:21:06.522+00:00,track_liveness_snapshot,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""contestant-a-c79e4705:TR_VC5tpJKFMjd7Vk"",""frames"":null,""reason"":null,""staleSec"":0,""probation"":false}],""trackCount"":1,""ineligibleCount"":0}"
2026-08-30T16:21:07.694918+00:00,2026-08-30T16:21:06.525+00:00,pub_stats,,a,show-jm6rlv90,,1023664,375000,,,,22,32.05128205128205,,bandwidth,h,,3,360,640,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx)",1,0,0,0,,,0.025,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":0.036,""other"":0,""bandwidth"":0.458}}"
2026-08-30T16:21:09.698563+00:00,2026-08-30T16:21:08.523+00:00,pub_stats,,a,show-jm6rlv90,879247,1195203,450000,40,40,0,20,31,53.58,bandwidth,h,h+q,3,360,640,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx)",2,0,1,0,0,0.0006439999999999999,0.026,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":0.036,""other"":0,""bandwidth"":2.458}}"
2026-08-30T16:21:09.698563+00:00,2026-08-30T16:21:08.912+00:00,director_shot_emitted,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""shot"":""pan"",""slot"":""a"",""sourceRole"":""main"",""decisionSource"":""auto"",""targetIdentity"":""contestant-a-c79e4705""}"
2026-08-30T16:21:09.698563+00:00,2026-08-30T16:21:08.912+00:00,shot_publish_success,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""shot"":""pan"",""slot"":""a"",""commandId"":""b83e32c2-4278-4a31-b519-d2782e1f1ebb"",""decisionSource"":""auto"",""connectionState"":""connected""}"
2026-08-30T16:21:10.679543+00:00,2026-08-30T16:21:09.554+00:00,mic_level_sample,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""deviceId"":""a58e21953fa187ebbfa035f4c18fb6d2d3f12f0c3a35994d56f0781fea8405af"",""inputRms"":0.0876500821636965,""outputRms"":0.29023236903087174,""deviceLabel"":""MacBook Air Microphone (Built-in)"",""audioContextState"":""running""}"
2026-08-30T16:21:10.679543+00:00,2026-08-30T16:21:09.692+00:00,pub_connection_quality,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excellent,,,,
2026-08-30T16:21:11.661453+00:00,2026-08-30T16:21:10.523+00:00,pub_stats,,a,show-jm6rlv90,1023312,1394190,450000,40,40,0,20,30,24.68,bandwidth,h,h+q,3,360,640,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx)",2,0,1,0,0,0.0007999999999999999,0.025,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":0.036,""other"":0,""bandwidth"":4.458}}"
2026-08-30T16:21:11.661453+00:00,2026-08-30T16:21:11.522+00:00,track_liveness_snapshot,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""contestant-a-c79e4705:TR_VC5tpJKFMjd7Vk"",""frames"":null,""reason"":null,""staleSec"":5,""probation"":false}],""trackCount"":1,""ineligibleCount"":0}"
2026-08-30T16:21:13.673297+00:00,2026-08-30T16:21:12.523+00:00,pub_stats,,a,show-jm6rlv90,1189784,1584793,450000,40,40,0,20,30,18.3,bandwidth,h,h+q,3,360,640,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx)",2,0,1,0,0,0.0007999999999999999,0.025,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":0.036,""other"":0,""bandwidth"":6.458}}"
2026-08-30T16:21:15.728348+00:00,2026-08-30T16:21:14.522+00:00,pub_stats,,a,show-jm6rlv90,539882,1793321,281773,40,40,0,20,30,47.33,none,h,f+h+q,3,360,640,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx, libvpx)",4,0,1,0,0,0.004455,0.026,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":1.656,""other"":0,""bandwidth"":6.837}}"
2026-08-30T16:21:15.728348+00:00,2026-08-30T16:21:14.522+00:00,pub_simulcast_switch,,a,show-jm6rlv90,539882,1793321,,,,,,,,,,,,,,,,,,,,,,,,,h+q,f+h+q,none,,,,,
2026-08-30T16:21:15.728348+00:00,2026-08-30T16:21:14.522+00:00,pub_quality_limitation_changed,,a,show-jm6rlv90,,,,,,,,,47.33,,,,,,,,,,,,,,,,,,bandwidth,none,,,,,,"{""durations"":{""cpu"":0,""none"":1.656,""other"":0,""bandwidth"":6.837}}"
2026-08-30T16:21:15.728348+00:00,2026-08-30T16:21:14.525+00:00,director_heartbeat,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""running""}"
2026-08-30T16:21:15.728348+00:00,2026-08-30T16:21:14.554+00:00,mic_level_sample,,a,show-jm6rlv90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""deviceId"":""a58e21953fa187ebbfa035f4c18fb6d2d3f12f0c3a35994d56f0781fea8405af"",""inputRms"":0.03610654789896794,""outputRms"":0.164138013858909,""deviceLabel"":""MacBook Air Microphone (Built-in)"",""audioContextState"":""running""}"
2026-08-30T16:21:17.739494+00:00,2026-08-30T16:21:16.523+00:00,pub_stats,,a,show-jm6rlv90,303832,2178945,373258,40,40,0,20,30,43.7,none,h,f+h+q,3,360,640,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx, libvpx)",4,0,1,0,0,0.000855,0.027,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":3.657,""other"":0,""bandwidth"":6.837}}"
